vendorId,batchId,productId,initialPH,hoursSinceManufacture,hasRefrigerator,storageType,ambientTemperatureC,humidityPct,fridgeTemperatureC,hoursOnShelf,sellThroughRate,effectiveTemperatureExposure,hoursToExpiry,volumeKg,vendorRating,riskLabel
V114,B20064,Idly_Batter,4.494,79.4,1,fridge,34.0,66.0,5.4,65.9,0.87,429.5,136.6,5,3.78,High
V115,B20065,Idly_Batter,4.435,22.9,1,fridge,29.2,90.4,5.7,21.5,0.24,129.6,193.1,10,4.3,Medium
V116,B20066,Dosa_Batter,4.496,91.4,1,fridge,31.7,60.1,3.2,50.0,0.53,291.1,124.6,10,4.0,High
V117,B20067,Dosa_Batter,4.474,60.1,1,fridge,30.3,84.4,4.6,12.7,0.34,278.5,155.9,5,4.55,High
V118,B20068,Idly_Batter,4.479,52.2,1,counter,30.0,61.8,5.1,18.2,0.23,265.7,163.8,10,3.36,High
V119,B20069,Idly_Batter,4.45,51.6,0,counter,30.8,54.4,-1.0,12.5,0.22,1590.9,0.0,5,3.68,High
V120,B20070,Combo_Pack,4.474,16.2,1,counter,30.8,61.7,5.7,15.4,0.59,92.9,199.8,1,3.77,Medium
V121,B20071,Combo_Pack,4.462,87.1,1,fridge,30.9,75.3,3.1,43.5,0.24,271.0,128.9,10,3.98,High
V122,B20072,Combo_Pack,4.501,79.8,0,backroom,30.9,56.8,-1.0,28.0,0.31,2462.2,0.0,5,4.57,High
V123,B20073,Idly_Batter,4.48,85.7,0,backroom,27.0,56.7,-1.0,33.5,0.45,2318.7,0.0,2,3.98,High
V124,B20074,Combo_Pack,4.426,51.6,0,counter,28.7,79.7,-1.0,29.4,0.85,1482.8,0.0,2,4.13,High
V100,B20075,Dosa_Batter,4.459,67.7,1,counter,28.1,83.3,6.9,35.4,0.54,467.5,148.3,10,3.78,High
V101,B20076,Idly_Batter,4.474,45.9,0,backroom,30.0,79.4,-1.0,30.1,0.29,1377.4,2.1,5,4.15,High
V102,B20077,Idly_Batter,4.436,93.3,0,backroom,30.7,85.6,-1.0,47.2,0.77,2865.5,0.0,1,4.12,High
V103,B20078,Idly_Batter,4.437,55.2,0,counter,36.9,66.0,-1.0,4.8,0.72,2034.5,0.0,5,4.89,High
V104,B20079,Combo_Pack,4.481,89.0,0,counter,29.6,70.1,-1.0,10.8,0.83,2630.7,0.0,2,3.6,High
V105,B20080,Combo_Pack,4.516,5.3,1,fridge,34.4,74.8,3.5,1.3,0.76,18.5,210.7,2,4.25,Low
V106,B20081,Combo_Pack,4.499,14.8,0,counter,33.9,62.1,-1.0,2.3,0.41,501.6,33.2,5,3.52,High
V107,B20082,Idly_Batter,4.434,71.9,0,counter,32.5,70.8,-1.0,65.3,0.33,2339.0,0.0,2,4.42,High
V108,B20083,Dosa_Batter,4.531,1.1,0,counter,34.6,57.8,-1.0,0.7,0.93,36.8,46.9,1,4.57,Low
V109,B20084,Idly_Batter,4.463,79.8,1,counter,27.3,71.2,7.3,6.7,0.48,585.5,136.2,2,3.62,High
V110,B20085,Combo_Pack,4.503,46.1,1,fridge,31.1,56.3,2.6,32.6,0.58,118.1,169.9,5,3.89,Medium
V111,B20086,Dosa_Batter,4.465,72.8,1,counter,27.4,80.7,3.3,67.1,0.35,239.5,143.2,10,4.39,High
V112,B20087,Combo_Pack,4.465,62.4,0,backroom,28.0,60.5,-1.0,56.3,0.48,1748.7,0.0,5,4.83,High
V113,B20088,Dosa_Batter,4.416,52.8,1,fridge,32.2,73.0,6.7,5.1,0.37,353.8,163.2,2,3.94,High
V114,B20089,Dosa_Batter,4.499,58.0,0,counter,30.5,64.8,-1.0,56.6,0.36,1770.8,0.0,2,4.36,High
V115,B20090,Idly_Batter,4.458,68.5,0,backroom,31.4,83.9,-1.0,8.6,0.08,2151.6,0.0,5,4.51,High
V116,B20091,Idly_Batter,4.443,1.6,0,backroom,33.8,68.7,-1.0,0.3,0.13,53.9,46.4,10,4.39,Medium
V117,B20092,Dosa_Batter,4.441,46.6,0,backroom,31.0,73.3,-1.0,4.3,0.27,1444.9,1.4,1,3.52,High
V118,B20093,Combo_Pack,4.451,41.4,0,counter,30.8,67.3,-1.0,28.5,0.46,1274.9,6.6,5,4.78,High
V119,B20094,Dosa_Batter,4.414,26.5,1,fridge,32.1,79.5,3.4,1.1,0.41,90.0,189.5,5,4.57,Medium
V120,B20095,Idly_Batter,4.457,69.8,1,backroom,30.0,81.9,5.4,69.1,0.34,377.9,146.2,1,3.81,High
V121,B20096,Dosa_Batter,4.443,40.0,1,fridge,27.8,46.3,5.7,19.2,0.76,229.3,176.0,10,4.41,High
V122,B20097,Combo_Pack,4.442,65.7,0,backroom,37.3,65.7,-1.0,19.3,0.45,2451.8,0.0,2,3.44,High
V123,B20098,Combo_Pack,4.474,86.0,0,counter,31.9,70.2,-1.0,50.9,0.33,2744.4,0.0,1,4.26,High
V124,B20099,Combo_Pack,4.435,37.6,0,counter,30.7,56.4,-1.0,16.6,0.38,1155.4,10.4,1,4.59,High
V100,B20100,Idly_Batter,4.437,82.8,0,counter,22.3,61.1,-1.0,40.9,0.79,1844.8,0.0,1,4.09,High
V101,B20101,Dosa_Batter,4.408,86.1,1,counter,31.3,69.2,5.6,6.0,0.12,485.7,129.9,2,3.92,High
V102,B20102,Idly_Batter,4.407,21.6,0,counter,30.3,85.0,-1.0,0.1,0.47,655.5,26.4,5,4.28,High
V103,B20103,Idly_Batter,4.479,22.8,1,backroom,33.5,62.3,2.8,4.3,0.31,63.4,193.2,2,4.17,Low
V104,B20104,Idly_Batter,4.432,89.7,0,counter,31.7,80.2,-1.0,37.8,0.69,2845.8,0.0,2,4.81,High
V105,B20105,Combo_Pack,4.421,24.9,0,counter,34.7,80.6,-1.0,21.4,0.79,864.9,23.1,10,4.94,High
V106,B20106,Dosa_Batter,4.489,9.5,1,fridge,32.2,65.1,6.9,1.8,0.58,65.8,206.5,2,3.71,Medium
V107,B20107,Dosa_Batter,4.484,25.6,0,counter,28.6,74.0,-1.0,2.6,0.33,733.2,22.4,1,4.13,High
V108,B20108,Idly_Batter,4.457,9.2,0,counter,37.5,74.6,-1.0,8.2,0.2,343.3,38.8,1,3.97,High
V109,B20109,Combo_Pack,4.467,85.3,0,backroom,28.0,48.7,-1.0,8.8,0.85,2391.3,0.0,1,4.59,High
V110,B20110,Combo_Pack,4.431,7.3,1,fridge,30.2,73.9,3.4,4.1,0.35,24.5,208.7,2,4.82,Low
V111,B20111,Combo_Pack,4.438,84.0,0,counter,39.0,68.0,-1.0,74.7,0.21,3280.0,0.0,10,3.9,High
V112,B20112,Dosa_Batter,4.399,89.6,1,fridge,24.8,76.5,2.2,39.6,0.2,196.4,126.4,1,3.95,High
V113,B20113,Idly_Batter,4.493,51.8,0,counter,32.9,54.4,-1.0,14.1,0.33,1707.6,0.0,5,4.66,High
V114,B20114,Combo_Pack,4.471,34.9,1,counter,30.1,71.4,8.5,10.8,0.97,297.2,181.1,2,4.11,High
V115,B20115,Idly_Batter,4.443,74.2,1,counter,31.0,64.1,3.3,35.5,0.36,244.8,141.8,10,4.51,High
V116,B20116,Idly_Batter,4.464,82.2,1,backroom,30.3,75.6,5.1,51.2,0.45,421.9,133.8,2,3.79,High
V117,B20117,Idly_Batter,4.467,50.1,1,fridge,28.0,71.7,6.9,22.4,0.34,346.2,165.9,2,4.01,High
V118,B20118,Combo_Pack,4.47,0.9,1,counter,27.6,87.3,2.9,0.3,0.75,2.5,215.1,10,4.63,Low
V119,B20119,Dosa_Batter,4.427,26.7,1,fridge,34.2,74.5,4.3,19.7,0.27,116.0,189.3,10,4.9,Medium
V120,B20120,Combo_Pack,4.432,85.1,1,fridge,22.0,75.0,3.8,40.8,0.34,324.1,130.9,5,3.92,High
V121,B20121,Combo_Pack,4.466,24.2,1,backroom,28.6,69.3,5.2,3.0,0.39,127.1,191.8,5,4.25,Medium
V122,B20122,Combo_Pack,4.449,19.9,0,counter,30.3,71.7,-1.0,6.4,0.06,603.1,28.1,5,3.96,High
V123,B20123,Idly_Batter,4.46,31.7,0,backroom,30.9,66.7,-1.0,3.7,0.78,981.9,16.3,5,3.51,High
V124,B20124,Combo_Pack,4.465,85.5,0,counter,32.2,64.3,-1.0,44.6,0.75,2750.2,0.0,5,4.29,High
V100,B20125,Combo_Pack,4.487,30.5,0,counter,28.8,62.7,-1.0,11.3,0.49,878.6,17.5,2,4.18,High
V101,B20126,Combo_Pack,4.53,59.9,0,backroom,27.6,73.0,-1.0,8.5,0.7,1649.9,0.0,1,3.86,High
V102,B20127,Combo_Pack,4.457,56.1,0,backroom,37.7,81.2,-1.0,14.2,0.26,2114.0,0.0,1,4.21,High
V103,B20128,Dosa_Batter,4.422,61.7,0,backroom,34.1,72.2,-1.0,37.8,0.06,2105.8,0.0,2,4.72,High
V104,B20129,Combo_Pack,4.474,11.8,0,backroom,30.8,81.5,-1.0,10.8,0.13,364.8,36.2,5,3.94,High
V105,B20130,Combo_Pack,4.438,11.8,0,backroom,27.9,70.6,-1.0,9.8,0.83,328.8,36.2,5,4.79,High
V106,B20131,Dosa_Batter,4.411,91.3,0,backroom,37.1,78.9,-1.0,20.3,0.73,3385.5,0.0,10,4.08,High
V107,B20132,Dosa_Batter,4.459,21.1,0,backroom,36.2,69.5,-1.0,1.6,0.6,762.8,26.9,5,4.5,High
V108,B20133,Combo_Pack,4.5,76.9,0,backroom,32.3,60.7,-1.0,66.3,0.43,2482.8,0.0,2,4.32,High
V109,B20134,Dosa_Batter,4.469,24.3,1,fridge,28.6,63.1,6.4,2.0,0.36,156.1,191.7,5,4.15,High
V110,B20135,Dosa_Batter,4.451,94.0,1,fridge,29.6,65.1,5.8,51.5,0.17,543.2,122.0,1,4.86,High
V111,B20136,Dosa_Batter,4.472,71.8,1,backroom,31.4,64.3,6.5,50.6,0.74,468.7,144.2,2,4.35,High
V112,B20137,Combo_Pack,4.454,1.3,1,counter,29.5,59.0,5.4,0.3,0.73,7.2,214.7,10,4.26,Low
V113,B20138,Dosa_Batter,4.487,50.8,1,fridge,29.8,76.2,5.2,20.3,0.05,261.8,165.2,10,4.29,High
V114,B20139,Dosa_Batter,4.441,4.2,0,backroom,33.2,69.7,-1.0,2.3,0.46,140.6,43.8,1,4.38,High
V115,B20140,Combo_Pack,4.434,52.0,1,fridge,30.5,79.4,2.0,33.2,0.69,104.1,164.0,5,3.6,Medium
V116,B20141,Combo_Pack,4.432,73.9,0,counter,31.6,91.8,-1.0,49.9,0.47,2338.5,0.0,5,4.04,High
V117,B20142,Dosa_Batter,4.468,38.6,1,counter,29.2,83.3,3.0,7.1,0.64,115.4,177.4,2,4.09,Medium
V118,B20143,Combo_Pack,4.471,28.0,0,counter,33.1,83.3,-1.0,13.1,0.71,927.3,20.0,1,3.85,High
V119,B20144,Dosa_Batter,4.463,45.1,1,fridge,30.8,62.2,5.2,33.2,0.41,233.8,170.9,5,5.0,High
V120,B20145,Combo_Pack,4.509,22.1,1,counter,24.5,79.8,5.8,8.4,0.86,127.7,193.9,5,4.83,Medium
V121,B20146,Dosa_Batter,4.457,45.0,1,backroom,27.5,68.7,2.2,27.8,0.62,100.0,171.0,1,4.47,Medium
V122,B20147,Combo_Pack,4.531,69.1,1,fridge,25.9,69.2,5.1,14.7,0.74,353.7,146.9,10,4.39,High
V123,B20148,Dosa_Batter,4.483,83.8,1,backroom,30.6,74.0,2.3,34.5,0.88,196.2,132.2,1,3.67,High
V124,B20149,Idly_Batter,4.456,87.2,0,backroom,28.8,89.3,-1.0,45.0,0.58,2514.2,0.0,10,3.98,High
V100,B20150,Idly_Batter,4.445,68.7,0,counter,29.4,66.9,-1.0,25.4,0.43,2022.6,0.0,5,4.2,High
V101,B20151,Idly_Batter,4.431,79.2,1,fridge,28.5,71.1,3.9,24.7,0.28,312.0,136.8,1,4.05,High
V102,B20152,Idly_Batter,4.483,78.1,1,fridge,27.1,73.0,4.7,32.9,0.98,367.8,137.9,5,4.55,High
V103,B20153,Dosa_Batter,4.426,37.9,1,fridge,31.3,75.4,5.2,15.1,0.73,198.2,178.1,5,4.25,High
V104,B20154,Combo_Pack,4.493,95.8,0,counter,30.3,72.6,-1.0,84.8,0.19,2900.1,0.0,5,4.03,High
V105,B20155,Idly_Batter,4.472,45.5,1,counter,39.3,85.7,5.9,41.8,0.63,267.0,170.5,2,4.19,High
V106,B20156,Combo_Pack,4.481,95.7,1,fridge,36.8,58.8,6.9,83.7,0.12,661.5,120.3,10,4.36,High
V107,B20157,Combo_Pack,4.499,38.1,0,counter,34.1,56.3,-1.0,21.2,0.82,1299.5,9.9,10,4.17,High
V108,B20158,Idly_Batter,4.482,56.6,1,fridge,26.0,65.3,7.7,22.2,0.54,437.5,159.4,1,4.37,High
V109,B20159,Dosa_Batter,4.443,53.0,1,counter,34.0,54.8,4.0,46.4,0.37,213.7,163.0,2,4.64,High
V110,B20160,Dosa_Batter,4.457,20.0,1,backroom,36.4,64.0,4.3,4.0,0.58,85.4,196.0,5,4.27,Medium
V111,B20161,Dosa_Batter,4.453,22.9,1,counter,31.9,70.6,5.3,9.6,0.17,121.4,193.1,5,5.0,Medium
V112,B20162,Combo_Pack,4.454,91.2,0,counter,33.3,70.9,-1.0,62.9,0.37,3034.7,0.0,2,4.03,High
V113,B20163,Combo_Pack,4.444,78.8,0,counter,31.4,68.8,-1.0,12.5,0.59,2475.8,0.0,10,3.87,High
V114,B20164,Dosa_Batter,4.399,43.4,1,fridge,32.4,91.4,5.1,14.4,0.75,222.0,172.6,2,4.06,High
V115,B20165,Combo_Pack,4.416,81.0,0,counter,29.8,61.3,-1.0,22.3,0.57,2416.9,0.0,2,4.79,High
V116,B20166,Dosa_Batter,4.447,83.2,1,fridge,32.6,69.6,2.5,43.7,0.15,205.2,132.8,10,3.96,High
V117,B20167,Idly_Batter,4.456,31.5,1,counter,30.6,64.3,5.2,7.5,0.52,165.0,184.5,2,4.14,High
V118,B20168,Idly_Batter,4.495,20.1,1,counter,29.9,75.2,4.3,9.2,0.6,86.3,195.9,5,4.18,Medium
V119,B20169,Combo_Pack,4.477,76.2,1,counter,36.7,61.2,5.1,56.9,0.43,389.6,139.8,1,4.62,High
V120,B20170,Dosa_Batter,4.504,67.8,1,backroom,32.4,55.0,3.1,57.7,0.26,211.9,148.2,1,4.15,High
V121,B20171,Idly_Batter,4.445,25.8,1,counter,26.4,82.0,6.8,16.8,0.41,175.1,190.2,10,4.13,High
V122,B20172,Combo_Pack,4.437,61.9,1,fridge,26.3,65.4,4.6,22.4,0.57,286.1,154.1,2,3.79,High
V123,B20173,Combo_Pack,4.486,94.2,1,fridge,29.5,57.5,5.4,72.3,0.54,504.7,121.8,2,4.4,High
V124,B20174,Combo_Pack,4.454,75.0,1,fridge,29.2,60.8,5.5,46.3,0.37,414.3,141.0,2,4.36,High
V100,B20175,Idly_Batter,4.458,18.7,0,counter,34.2,69.4,-1.0,6.7,0.06,639.1,29.3,1,4.41,High
V101,B20176,Idly_Batter,4.43,43.3,0,counter,33.5,84.7,-1.0,14.9,0.39,1448.8,4.7,10,4.72,High
V102,B20177,Combo_Pack,4.421,46.2,0,counter,28.6,61.8,-1.0,14.8,0.26,1321.5,1.8,1,4.35,High
V103,B20178,Idly_Batter,4.488,71.1,0,backroom,30.8,65.4,-1.0,6.6,0.6,2186.4,0.0,2,4.24,High
V104,B20179,Combo_Pack,4.45,71.5,0,backroom,32.2,54.8,-1.0,5.6,0.51,2300.2,0.0,5,3.41,High
V105,B20180,Combo_Pack,4.452,63.9,0,backroom,33.7,69.6,-1.0,21.3,0.17,2154.9,0.0,10,4.5,High
V106,B20181,Dosa_Batter,4.439,20.8,1,backroom,30.7,80.1,4.5,11.2,0.42,94.5,195.2,10,4.68,Medium
V107,B20182,Idly_Batter,4.47,43.8,0,counter,31.3,73.9,-1.0,28.2,0.43,1373.6,4.2,2,3.36,High
V108,B20183,Combo_Pack,4.495,78.9,1,counter,34.1,59.3,7.1,49.1,0.71,560.1,137.1,5,3.81,High
V109,B20184,Combo_Pack,4.501,49.8,1,counter,25.9,76.4,6.5,2.8,0.05,324.7,166.2,5,4.1,High
V110,B20185,Idly_Batter,4.494,80.0,1,backroom,32.6,77.3,6.3,71.6,0.35,504.7,136.0,2,4.61,High
V111,B20186,Dosa_Batter,4.38,5.1,1,counter,29.6,49.2,4.9,2.1,0.29,25.0,210.9,1,3.95,Low
V112,B20187,Idly_Batter,4.459,95.0,0,counter,32.5,78.5,-1.0,65.9,0.57,3090.6,0.0,10,4.52,High
V113,B20188,Idly_Batter,4.414,7.1,0,counter,29.8,73.3,-1.0,5.0,0.28,212.7,40.9,10,4.14,High
V114,B20189,Combo_Pack,4.514,8.5,0,backroom,31.2,77.2,-1.0,8.0,0.67,264.3,39.5,1,3.58,High
V115,B20190,Combo_Pack,4.428,75.1,0,counter,33.4,82.1,-1.0,52.0,0.44,2505.6,0.0,10,3.44,High
V116,B20191,Combo_Pack,4.427,8.7,0,counter,29.5,80.3,-1.0,3.9,0.65,256.6,39.3,2,4.65,High
V117,B20192,Dosa_Batter,4.484,57.7,1,counter,25.7,63.5,3.9,45.2,0.4,225.7,158.3,1,4.82,High
V118,B20193,Combo_Pack,4.421,79.0,0,backroom,32.9,50.8,-1.0,23.2,0.62,2602.5,0.0,2,3.4,High
V119,B20194,Combo_Pack,4.489,16.6,0,backroom,26.3,62.1,-1.0,12.9,0.7,437.1,31.4,2,3.78,High
V120,B20195,Dosa_Batter,4.474,25.3,1,fridge,24.1,80.9,6.2,14.2,0.08,157.8,190.7,1,4.45,High
V121,B20196,Idly_Batter,4.458,62.7,0,counter,33.5,80.7,-1.0,27.5,0.14,2103.4,0.0,10,4.49,High
V122,B20197,Combo_Pack,4.497,94.3,1,fridge,31.5,63.9,6.2,77.4,0.95,587.2,121.7,1,3.67,High
V123,B20198,Idly_Batter,4.458,76.6,0,counter,30.3,82.5,-1.0,46.1,0.31,2324.1,0.0,5,4.0,High
V124,B20199,Idly_Batter,4.45,79.7,1,counter,33.4,73.9,6.3,39.9,0.53,504.2,136.3,2,3.95,High
V100,B20200,Idly_Batter,4.467,20.5,1,fridge,25.6,73.7,6.1,4.7,0.75,124.8,195.5,1,4.67,Medium
V101,B20201,Dosa_Batter,4.444,42.9,0,counter,29.4,70.1,-1.0,2.4,0.13,1260.7,5.1,2,4.94,High
V102,B20202,Combo_Pack,4.457,59.8,0,backroom,33.7,50.0,-1.0,29.4,0.34,2015.0,0.0,5,3.57,High
V103,B20203,Idly_Batter,4.386,71.9,0,counter,34.1,59.6,-1.0,26.5,0.33,2453.7,0.0,2,4.28,High
V104,B20204,Dosa_Batter,4.464,91.6,1,counter,30.8,62.5,5.2,64.4,0.78,474.5,124.4,10,5.0,High
V105,B20205,Combo_Pack,4.444,11.2,1,backroom,29.7,69.5,4.9,8.0,0.47,54.9,204.8,5,4.29,Low
V106,B20206,Combo_Pack,4.461,11.1,0,counter,29.8,49.2,-1.0,7.5,0.64,330.5,36.9,10,4.15,High
V107,B20207,Dosa_Batter,4.45,78.0,0,backroom,30.7,87.3,-1.0,65.0,0.5,2391.0,0.0,2,3.48,High
